Headline,Link
News,https://www.bbc.com/news
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/us-canada
UK,https://www.bbc.com/news/uk
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
In Pictures,https://www.bbc.com/news/in_pictures
BBC InDepth,https://www.bbc.com/news/bbcindepth
BBC Verify,https://www.bbc.com/news/bbcverify
News,https://www.bbc.com/news
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/us-canada
UK,https://www.bbc.com/news/uk
UK Politics,https://www.bbc.com/news/politics
England,https://www.bbc.com/news/england
N. Ireland,https://www.bbc.com/news/northern_ireland
N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
Scotland,https://www.bbc.com/news/scotland
Scotland Politics,https://www.bbc.com/news/scotland/scotland_politics
Wales,https://www.bbc.com/news/wales
Wales Politics,https://www.bbc.com/news/wales/wales_politics
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
China,https://www.bbc.com/news/world/asia/china
India,https://www.bbc.com/news/world/asia/india
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
In Pictures,https://www.bbc.com/news/in_pictures
BBC InDepth,https://www.bbc.com/news/bbcindepth
BBC Verify,https://www.bbc.com/news/bbcverify
Live News,https://www.bbc.com/live/news
Newsletters,https://www.bbc.com/newsletters
"LIVECharlie Kirk suspect brought into custody after confessing to fatherThe father of Tyler Robinson, 22, recognised his son from pictures released by the FBI - he then helped turn him in.",https://www.bbc.com/news/live/c206zm81z4gt
Kirk and Trump - from teenage activist to the heart of president's inner circleKirk's loyalty towards the first family put him at the very centre of Donald Trump's Maga movement.1 hr agoUS & Canada,https://www.bbc.com/news/articles/c33r4kjez6no
"As Russian army inches closer, Ukrainians must decide to stay or goIn Bilozerske, eastern Ukraine, people must make the agonising decision to flee or risk staying.38 mins agoEurope",https://www.bbc.com/news/articles/cy50kk14y00o
"LIVEInvestigating reports of mass drone attack against RussiaLatest updates from the BBC's specialists in fact-checking, verifying video and tackling disinformation.",https://www.bbc.com/news/live/cy50kdwr216t
More than two million people evacuated from deadly floods in PakistanMonsoon rains have killed more than 900 people across the country since late June.12 hrs agoAsia,https://www.bbc.com/news/articles/cn0xjd7wvy1o
Kirk and Trump - from teenage activist to the heart of president's inner circleKirk's loyalty towards the first family put him at the very centre of Donald Trump's Maga movement.1 hr agoUS & Canada,https://www.bbc.com/news/articles/c33r4kjez6no
Nepal to get first female PM after deadly unrestFormer Supreme Court chief justice Sushila Karki will be sworn in after a deal with protest leaders.44 mins agoAsia,https://www.bbc.com/news/articles/c179qne0zw0o
"North Korea executing more people for watching foreign films and TV, UN findsThe report is based on more than 300 interviews with escapees from Kim Jong Un's secretive regime.8 hrs agoAsia",https://www.bbc.com/news/articles/ckgqdz17ye3o
South Korean workers detained in US raid arrive homeMedia and some protesters gather at the airport as more than 300 workers detained in the US last week return.9 hrs agoBusiness,https://www.bbc.com/news/articles/cn0r434g5k1o
